timestamp,ir_value
276264,92022
276272,92068
276280,92027
276288,92056
276296,92083
276304,92069
276312,92075
276320,91982
276328,91953
276336,91932
276998,90959
277006,90692
277014,90521
277022,90366
277030,90195
277038,90121
277046,90022
277054,89952
277062,89895
277070,89865
277078,89930
277086,89934
277094,89993
277102,90017
277110,90045
277118,90111
277126,90217
277134,90307
277142,90410
277150,90448
277158,90500
277166,90576
277174,90669
277182,90693
277190,90705
277198,90774
277206,90815
277214,90839
277222,90881
277230,90930
277238,90898
277246,90908
277254,90878
277262,90865
277270,90870
277278,90797
277286,90789
277294,90729
277302,90732
277310,90778
277318,90738
277326,90764
277334,90796
277342,90829
277350,90891
277358,90886
277366,90999
277374,91028
277382,91070
277390,91098
277398,91124
277406,91202
277414,91269
277422,91307
277430,91355
277438,91398
277446,91396
277454,91460
277462,91364
277470,91290
277478,91146
277486,90785
277494,90412
277502,90154
277510,89988
277518,89907
277526,89754
277534,89655
277542,89604
277550,89592
277558,89581
277566,89565
277574,89649
277582,89702
277590,89727
277598,89775
277606,89754
277614,89886
277622,89959
277630,90029
277638,90081
277646,90104
277654,90203
277662,90306
277670,90345
277678,90443
277686,90542
277694,90540
277702,90628
277710,90612
277718,90639
277726,90671
277734,90630
277742,90571
277750,90536
277758,90529
277766,90490
277774,90433
277782,90405
277790,90433
277798,90382
277806,90393
277814,90367
277822,90421
277830,90476
277838,90504
277846,90537
277854,90501
277862,90574
277870,90643
277878,90686
277886,90753
277894,90839
277902,90840
277910,90922
277918,90947
277926,91004
277934,91083
277942,91025
277950,91026
277958,90973
277966,90820
277974,90652
277982,90361
277990,90040
278627,89917
278635,89953
278643,90055
278651,90087
278659,90192
278667,90267
278675,90289
278683,90379
278691,90383
278699,90361
278707,90408
278715,90370
278723,90379
278731,90293
278739,90276
278747,90245
278755,90207
278763,90177
278771,90122
278779,90135
278787,90136
278795,90109
278803,90151
278811,90145
278819,90179
278827,90232
278835,90237
278843,90286
278851,90325
278859,90343
278867,90387
278875,90436
278883,90469
278891,90567
278899,90547
278907,90610
278915,90678
278923,90711
278931,90806
278939,90761
278947,90816
278955,90811
278963,90789
278971,90713
278979,90540
278987,90341
278995,90189
279003,90031
279011,89921
279019,89754
279027,89719
279035,89644
279043,89607
279051,89577
279059,89554
279067,89538
279075,89606
279083,89652
279091,89693
279099,89782
279107,89790
279115,89842
279123,89953
279131,90001
279139,90123
279147,90136
279155,90224
279163,90299
279171,90338
279179,90464
279187,90459
279195,90529
279203,90559
279211,90500
279219,90513
279227,90458
279235,90452
279243,90429
279251,90366
279259,90349
279267,90293
279275,90267
279283,90266
279291,90240
279299,90250
279307,90280
279315,90261
279323,90315
279331,90349
279339,90347
279347,90443
279355,90431
279363,90473
279371,90528
279379,90510
279387,90623
279395,90602
279403,90607
279411,90670
279419,90706
279427,90771
279435,90775
279443,90831
279451,90862
279459,90809
279467,90749
279475,90602
279483,90396
279491,90262
279499,90139
279507,90016
279515,89867
279523,89761
279531,89734
279539,89705
279547,89649
279555,89651
279563,89597
279571,89619
279579,89658
279587,89682
279595,89757
279603,89795
279611,89865
279619,89939
280261,90295
280269,90278
280277,90245
280285,90292
280293,90249
280301,90263
280309,90289
280317,90276
280325,90307
280333,90308
280341,90363
280349,90428
280357,90469
280365,90541
280373,90566
280381,90596
280389,90664
280397,90715
280405,90731
280413,90843
280421,90795
280429,90850
280437,90925
280445,90914
280453,90951
280461,90868
280469,90675
280477,90528
280485,90327
280493,90227
280501,90046
280509,89888
280517,89822
280525,89688
280533,89669
280541,89565
280549,89562
280557,89551
280565,89540
280573,89573
280581,89563
280589,89593
280597,89638
280605,89699
280613,89747
280621,89789
280629,89813
280637,89905
280645,89942
280653,90006
280661,90070
280669,90102
280677,90174
280685,90172
280693,90211
280701,90308
280709,90266
280717,90241
280725,90250
280733,90207
280741,90255
280749,90186
280757,90179
280765,90169
280773,90160
280781,90156
280789,90104
280797,90163
280805,90178
280813,90208
280821,90217
280829,90176
280837,90270
280845,90288
280853,90341
280861,90310
280869,90347
280877,90374
280885,90426
280893,90499
280901,90510
280909,90625
280917,90628
280925,90657
280933,90723
280941,90743
280949,90848
280957,90831
280965,90825
280973,90820
280981,90742
280989,90632
280997,90414
281005,90247
281013,90140
281021,90010
281029,89896
281037,90831
281045,89699
281053,89628
281061,89570
281069,89549
281077,89533
281085,89507
281093,89564
281101,89619
281109,89635
281117,89687
281125,89689
281133,89777
281141,89843
281149,89847
281157,89987
281165,89977
281173,90033
281181,90109
281189,90148
281197,90243
281205,90232
281213,90265
281221,90300
281229,90328
281237,90350
281245,90309
281253,90350
281699,90386
281707,90383
281715,90494
281723,90534
281731,90588
281739,90630
281747,90573
281755,90588
281763,90531
281771,90517
281779,90520
281787,90441
281795,90425
281803,90363
281811,90375
281819,90346
281827,90304
281835,90347
281843,90358
281851,90354
281859,90350
281867,90330
281875,90365
281883,90387
281891,90467
281899,90449
281907,90304
281915,90499
281923,90588
281931,90620
281939,90697
281947,90741
281955,90749
281963,90816
281971,90810
281979,90877
281987,90935
281995,90943
282003,90954
282011,90948
282019,90964
282027,90879
282035,90759
282043,90580
282051,90439
282059,90320
282067,90183
282075,90943
282083,89955
282091,89900
282099,89856
282107,89840
282115,89778
282123,89800
282131,89851
282139,89867
282147,89932
282155,89996
282163,90014
282171,90105
282179,90171
282187,90235
282195,90364
282203,90410
282211,90494
282219,90555
282227,90652
282235,90693
282243,90708
282251,90807
282259,90831
282267,90841
282275,90857
282283,90829
282291,90851
282299,90824
282307,90784
282315,90764
282323,90666
282331,90691
282339,90691
282347,90661
282355,90642
282363,90635
282371,90632
282379,90681
282387,90660
282395,90712
282403,90772
282411,90740
282419,90801
282427,90817
282435,90892
282443,90933
282451,90960
282459,91023
282467,91054
282475,91122
282483,91162
282491,91134
282499,91246
282507,91238
282515,91288
282523,91282
282531,90960
282539,91141
282547,90982
282555,90816
282563,90647
282571,90482
282579,90358
282587,90258
282595,90143
282603,90072
282611,90017
282619,89919
282627,89855
282635,89920
282643,89908
282651,89977
282659,90000
282667,90060
282675,90100
282683,90193
282691,90296
289132,89040
289140,89149
289148,89277
289156,89347
289164,89463
289172,89539
289180,89558
289188,89694
289196,89728
289204,89788
289212,89824
289220,89798
289228,89847
289236,89827
289244,89775
289252,89748
289260,89667
289268,89697
289276,89650
289284,89670
289292,89621
289300,89608
289308,89599
289316,89604
289324,89635
289332,89654
289340,89721
289348,89666
289356,89725
289364,89738
289372,89808
289380,89874
289388,89830
289396,89937
289404,89971
289412,90048
289420,90093
289428,90096
289436,90237
289444,90260
289452,90318
289460,90372
289468,90403
289476,90523
289484,90530
289492,90590
289500,90595
289508,90600
289516,90529
289524,90371
289532,90165
289540,89927
289548,89744
289556,89501
289564,89252
289572,89103
289580,88974
289588,88920
289596,88792
289604,88754
289612,88724
289620,88725
289628,88814
289636,88812
289644,88933
289652,88989
289660,89085
289668,89177
289676,89210
289684,89348
289692,89411
289700,89524
289708,89549
289716,89590
289724,89795
289732,89828
289740,89940
289748,89926
289756,89969
289764,89986
289772,90017
289780,90004
289788,90008
289796,89974
289804,89891
289812,89856
289820,89843
289828,89816
289836,89843
289844,89781
289852,89781
289860,89786
289868,89800
289876,89882
289884,89852
289892,89916
289900,89917
289908,89955
289916,89947
289924,89956
289932,90051
289940,90073
289948,90146
289956,90170
289964,90193
289972,90294
289980,90332
289988,90366
289996,90447
290004,90440
290012,90492
290020,90579
290028,90654
290036,90716
290044,90816
290052,90789
290060,90889
290068,90897
290076,90912
290084,90863
290092,90692
290100,90402
290108,90110
290116,89902
290124,89690
290933,90304
290941,90353
290949,90365
290957,90352
290965,90290
290973,90223
290981,90228
290989,90174
290997,90176
291005,90125
291013,90056
291021,90065
291029,90050
291037,90073
291045,90063
291053,90111
291061,90133
291069,90192
291077,90225
291085,90306
291093,90369
291101,90342
291109,90425
291117,90446
291125,90475
291133,90529
291141,90517
291149,90581
291157,90589
291165,90627
291173,90709
291181,90672
291189,90739
291197,90780
291205,90860
291213,90881
291221,90517
291229,90980
291237,91020
291245,91071
291253,91103
291261,91121
291269,91169
291277,91241
291285,91248
291293,91264
291301,91231
291309,91077
291317,90823
291325,90534
291333,90318
291341,90100
291349,89485
291357,89304
291365,89212
291373,89105
291381,89061
291389,89084
291397,89074
291405,89198
291413,89172
291421,89249
291429,89329
291437,89376
291445,89525
291453,89535
291461,89678
291469,89761
291477,89876
291485,89963
291493,89999
291501,90170
291509,90236
291517,90299
291525,90357
291533,90342
291541,90455
291549,90443
291557,90460
291565,90435
291573,89999
291581,90366
291589,90313
291597,90294
291605,90210
291613,90189
291621,90174
291629,90127
291637,90178
291645,90163
291653,90236
291661,90196
291669,90228
291677,90292
291685,90319
291693,90391
291701,90394
291709,90468
291717,90496
291725,90542
291733,90600
291741,90556
291749,90655
291757,90668
291765,90723
291773,90772
291781,90788
291789,90905
291797,90933
291805,90964
291813,90984
291821,91054
291829,91098
291837,91142
291845,91208
291853,91227
291861,91328
291869,91309
291877,91320
291885,91294
291893,91186
291901,91086
291909,90733
291917,90387
291925,90135
292550,89546
292558,89506
292566,89513
292574,89555
292582,89591
292590,89635
292598,89746
292606,89755
292614,89902
292622,89941
292630,90036
292638,90119
292646,90168
292654,90318
292662,90380
292670,90480
292678,90542
292686,90601
292694,90723
292702,90777
292710,90825
292718,90850
292726,90825
292734,90845
292742,90826
292750,90788
292758,90767
292766,90698
292774,90640
292782,90648
292790,90631
292798,90646
292806,90564
292814,90595
292822,90604
292830,90605
292838,90597
292846,90564
292854,90624
292862,90668
292870,90697
292878,90777
292886,90794
292894,90827
292902,90927
292910,90974
292918,91019
292926,91146
292934,91141
292942,91236
292950,91264
292958,91300
292966,91422
292974,91427
292982,91514
292990,91564
292998,91561
293006,91594
293014,91506
293022,91434
293030,91219
293038,90932
293046,90645
293054,91427
293062,90193
293070,90043
293078,89859
293086,89792
293094,89691
293102,89641
293110,89600
293118,89621
293126,89652
293134,89718
293142,89776
293150,89824
293158,89920
293166,90023
293174,90122
293182,90220
293190,90298
293198,90360
293206,90512
293214,90600
293222,90684
293230,90809
293238,90800
293246,90879
293254,90889
293262,90914
293270,90922
293278,90874
293286,90855
293294,90825
293302,90803
293310,90772
293318,90741
293326,90733
293334,90680
293342,90673
293350,90654
293358,90874
293366,90732
293374,90706
293382,90743
293390,90786
293398,90815
293406,90823
293414,90918
293422,90955
293430,90972
293438,91095
293446,91041
293454,91136
293462,91186
293470,91242
293478,91312
293486,91322
293494,91394
293502,91443
293510,91503
293518,91542
293526,91555
293534,91583
293542,91500
294186,90046
294194,90098
294202,90165
294210,90214
294218,90337
294226,90432
294234,90504
294242,90581
294250,90626
294258,90749
294266,90888
294274,90938
294282,91033
294290,91073
294298,91118
294306,91170
294314,91158
294322,91169
294330,91178
294338,91112
294346,91077
294354,91022
294362,90979
294370,90965
294378,90939
294386,90900
294394,90874
294402,90908
294410,90925
294418,90874
294426,90968
294434,90983
294442,90995
294450,91039
294458,91034
294466,91149
294474,91190
294482,91253
294490,91307
294498,91346
294506,91387
294514,91510
294522,91552
294530,91610
294538,91653
294546,91639
294554,91711
294562,91720
294570,91680
294578,91633
294586,91383
294594,91088
294602,90818
294610,90652
294618,90485
294626,90319
294634,90178
294642,90077
294650,90026
294658,89974
294666,89931
294674,89995
294682,90040
294690,90066
294698,90148
294706,90146
294714,90232
294722,90382
294730,90453
294738,90548
294746,90620
294754,90692
294762,90837
294770,90896
294778,90974
294786,91001
294794,91109
294802,91192
294810,91200
294818,91230
294826,91267
294834,91231
294842,91191
294850,91160
294858,91157
294866,91123
294874,91043
294882,91071
294890,91011
294898,90975
294906,90975
294914,90929
294922,90968
294930,91030
294938,91011
294946,91032
294954,91070
294962,91083
294970,91167
294978,91179
294986,91225
294994,91315
295002,91335
295010,91425
295018,91470
295026,91532
295034,91603
295042,91621
295050,91698
295058,91747
295066,91783
295074,91831
295082,91779
295090,91731
295098,91580
295106,91323
295114,91092
295122,91621
295130,90599
295138,90466
295146,90305
295154,90210
295162,90115
295170,90038
295178,90062
295624,92016
295632,91970
295640,91784
295648,91433
295656,91125
295664,90877
295672,90642
295680,90464
295688,90313
295696,90192
295704,90146
295712,90063
295720,90026
295728,90034
295736,90073
295744,90119
295752,90171
295760,90244
295768,90291
295776,90405
295784,90476
295792,90593
295800,90730
295808,90746
295816,90889
295824,90958
295832,91053
295840,91120
295848,91224
295856,91302
295864,91305
295872,91325
295880,91364
295888,91340
295896,91380
295904,91326
295912,91374
295920,91266
295928,91185
295936,91182
295944,91149
295952,91154
295960,91103
295968,91082
295976,91085
295984,91115
295992,91105
296000,91062
296008,91144
296016,91173
296024,91228
296032,91249
296040,91221
296048,91370
296056,91380
296064,91441
296072,91462
296080,91506
296088,91548
296096,91616
296104,91697
296112,91711
296120,91812
296128,91828
296136,91869
296144,91953
296152,91959
296160,92012
296168,91901
296176,91671
296184,91409
296192,91089
296200,90829
296208,90558
296216,90321
296224,90214
296232,90067
296240,90004
296248,89879
296256,89909
296264,89866
296272,89899
296280,89925
296288,89948
296296,90053
296304,90123
296312,90199
296320,90259
296328,90367
296336,90412
296344,90509
296352,90599
296360,90667
296368,90806
296376,90798
296384,90914
296392,90959
296400,91025
296408,91071
296416,91033
296424,91069
296432,91023
296440,91018
296448,90952
296456,90836
296464,90829
296472,90790
296480,90763
296488,90728
296496,90674
296504,90705
296512,90708
296520,90719
296528,90745
296536,90755
296544,90756
296552,90776
296560,90837
296568,90857
296576,90969
296584,90960
296592,91051
296600,91116
296608,91158
296616,91255
297058,91078
297066,91095
297074,91113
297082,91128
297090,91198
297098,91189
297106,91252
297114,91273
297122,91284
297130,91373
297138,91406
297146,91470
297154,91512
297162,91555
297170,91689
297178,91728
297186,91811
297194,91833
297202,91931
297210,91929
297218,91947
297226,91950
297234,91890
297242,91822
297250,91542
297258,91176
297266,90864
297274,90660
297282,90523
297290,90343
297298,90196
297306,90055
297314,90007
297322,89986
297330,89893
297338,89960
297346,89982
297354,90023
297362,90075
297370,90343
297378,90273
297386,90297
297394,90377
297402,90452
297410,90534
297418,90620
297426,90756
297434,90855
297442,90909
297450,91007
297458,91030
297466,91111
